Date,Open,High,Low,Close,Adj Close,Volume
2022-04-01,5.840000,5.890000,4.740000,4.790000,4.607228,836536500
2022-05-01,4.720000,5.540000,4.420000,5.480000,5.273671,1161634400
2022-06-01,5.450000,5.470000,4.260000,4.280000,4.122295,1027963900
2022-07-01,4.190000,4.590000,3.900000,4.500000,4.336562,968124900
2022-08-01,4.480000,5.300000,4.430000,4.940000,4.765035,797500700
2022-09-01,4.970000,5.640000,4.850000,5.170000,5.048354,870840100
2022-10-01,5.460000,6.040000,5.300000,5.820000,5.686514,968935300
2022-11-01,5.860000,6.070000,4.710000,4.980000,4.868605,1099589000
2022-12-01,4.980000,5.100000,4.210000,4.710000,4.607019,759190500
2023-01-01,4.480000,5.210000,4.320000,4.980000,4.973896,568071700
2023-02-01,4.950000,5.260000,4.640000,4.810000,4.804104,643372000
2023-03-01,4.750000,4.880000,4.670000,4.880000,4.876956,45195200
