Date,Open,High,Low,Close,Adj Close,Volume
2022-04-01,117.430000,117.430000,100.750000,104.400002,104.400002,2400
2022-05-01,103.639999,108.400002,88.860001,90.769997,90.769997,12900
2022-06-01,93.540001,98.440002,88.550003,92.000000,92.000000,17800
2022-07-01,91.330002,97.400002,86.559998,97.400002,97.400002,3400
2022-08-01,96.680000,107.000000,92.040001,97.250000,97.250000,5000
2022-09-01,97.180000,97.180000,86.900002,89.599998,89.599998,3500
2022-10-01,89.250000,95.800003,82.629997,88.050003,88.050003,5100
2022-11-01,86.800003,99.790001,86.370003,96.940002,96.940002,3600
2022-12-01,98.050003,103.730003,94.500000,102.120003,102.120003,2600
2023-01-01,105.510002,106.029999,97.349998,102.739998,102.739998,3100
2023-02-01,103.639999,104.580002,95.610001,98.199997,98.199997,4200
2023-03-01,95.129997,100.919998,91.889999,98.040001,98.040001,4100
