Date,Open,High,Low,Close,Adj Close,Volume
2023-03-01,44.180000,44.340000,43.639999,43.830002,43.529797,2263700
2023-03-02,42.619999,42.619999,40.720001,41.830002,41.543495,4071900
2023-03-03,41.000000,41.020000,40.060001,40.630001,40.351715,3952700
2023-03-06,40.810001,41.169998,40.419998,40.529999,40.252396,2860500
2023-03-07,40.529999,40.540001,39.970001,39.980000,39.706165,2438800
2023-03-08,40.070000,40.349998,39.849998,40.230000,39.954453,2148500
2023-03-09,40.419998,40.450001,39.700001,39.720001,39.447948,2153400
2023-03-10,39.680000,39.770000,39.029999,39.180000,38.911644,2523500
2023-03-13,39.200001,39.919998,39.169998,39.330002,39.060619,2322000
2023-03-14,39.580002,39.650002,38.939999,39.310001,39.040756,2341600
2023-03-15,39.160000,39.549999,38.770000,39.439999,39.169861,2224600
2023-03-16,39.439999,39.660000,38.900002,39.160000,38.891781,2403500
2023-03-17,39.139999,39.150002,38.220001,38.349998,38.087330,4484600
2023-03-20,38.430000,38.889999,38.400002,38.759998,38.494518,2260000
2023-03-21,38.840000,38.840000,38.230000,38.509998,38.246231,2314600
2023-03-22,38.590000,38.849998,38.169998,38.180000,37.918495,2031700
2023-03-23,38.060001,38.340000,37.779999,37.950001,37.690071,2474600
2023-03-24,38.029999,38.810001,37.820000,38.650002,38.385277,2263800
2023-03-27,38.930000,39.180000,38.810001,38.970001,38.703083,2331800
2023-03-28,39.040001,39.419998,38.970001,39.160000,38.891781,1862600
2023-03-29,39.279999,39.560001,39.169998,39.299999,39.030823,2460500
