Date,Open,High,Low,Close,Adj Close,Volume
2022-04-01,51.400002,55.110001,51.240002,52.389999,50.903179,35224500
2022-05-01,52.860001,53.459999,46.529999,48.669998,47.522320,38735500
2022-06-01,48.619999,48.830002,44.209999,47.360001,46.243217,42472400
2022-07-01,47.410000,49.459999,46.919998,49.340000,48.176529,24580600
2022-08-01,49.419998,51.689999,48.220001,50.279999,49.359795,27969400
2022-09-01,47.459999,48.430000,45.389999,45.439999,44.608372,40392100
2022-10-01,45.650002,47.200001,44.369999,46.450001,45.599888,36736100
2022-11-01,46.450001,49.730000,45.529999,47.000000,46.402210,34414700
2022-12-01,47.000000,48.110001,44.770000,45.549999,44.970650,37759600
2023-01-01,45.500000,47.029999,44.080002,45.310001,44.733704,34287900
2023-02-01,45.070000,46.040001,44.360001,44.380001,44.076031,27384800
2023-03-01,44.180000,44.340000,37.779999,39.880001,39.606850,59369300
