Date,Open,High,Low,Close,Adj Close,Volume
2022-04-01,204.350006,212.330002,197.610001,198.679993,194.498337,8352500
2022-05-01,198.490005,201.100006,177.710007,186.970001,183.034805,8012700
2022-06-01,185.630005,189.339996,166.240005,174.119995,170.455261,9849800
2022-07-01,169.630005,191.440002,167.770004,191.399994,187.371567,9829000
2022-08-01,191.750000,194.039993,176.389999,176.389999,172.677490,6725900
2022-09-01,174.929993,181.490005,163.500000,169.809998,168.308319,6988400
2022-10-01,168.509995,176.229996,160.089996,166.970001,165.493439,7603500
2022-11-01,171.100006,186.729996,162.020004,186.550003,184.900299,7204000
2022-12-01,190.949997,191.929993,176.929993,178.190002,176.614227,6899900
2023-01-01,177.699997,188.289993,170.220001,176.850006,175.286072,8810000
2023-02-01,178.070007,178.600006,170.169998,173.039993,171.509766,8562700
2023-03-01,172.750000,181.820007,168.130005,181.179993,179.577774,10065100
